file,acc,f1_neg,f1_neu,f1_pos,f1_macro,f1_weighted,support
rose  bruno mars - apt. (official music video) comments_analise,0.8466666666666667,0.87248322147651,0.4594594594594595,0.9124668435013262,0.7481365081457653,0.8213294450878343,0.8466666666666667
sabrina carpenter - espresso comments_analise,0.8233333333333334,0.8695652173913043,0.4444444444444444,0.8861386138613861,0.7333827585657117,0.7944851006839815,0.8233333333333334
sza - snooze (audio) comments_analise,0.8333333333333334,0.6666666666666666,0.4657534246575342,0.9154013015184381,0.6826071309475464,0.8160968313869986,0.8333333333333334
tyla - water (official audio) comments_analise,0.8155339805825242,0.8333333333333334,0.2692307692307692,0.9012345679012346,0.6679328901551124,0.7667759245429149,0.8155339805825242
lady gaga bruno mars - die with a smile (official music video) comments_analise,0.7933333333333333,0.7474747474747475,0.36363636363636365,0.8820754716981132,0.6643955276030747,0.752497935328124,0.7933333333333333
kendrick lamar - not like us comments_analise,0.75,0.811965811965812,0.3373493975903614,0.8197879858657244,0.6563677318072992,0.7155295301589312,0.75
olivia rodrigo - obsessed (official music video) comments_analise,0.7033333333333334,0.8521739130434782,0.2982456140350877,0.7816711590296496,0.6440302287027385,0.6417469171972863,0.7033333333333334
benson boone - beautiful things (official music video) comments_analise,0.8466666666666667,0.8103448275862069,0.16326530612244897,0.9333333333333333,0.6356478223473297,0.8166303072953318,0.8466666666666667
charli xcx - guess featuring billie eilish (official video) comments_analise,0.6766666666666666,0.8050314465408805,0.2542372881355932,0.7678018575851393,0.6090235307538711,0.6017527094321141,0.6766666666666666
dua lipa - training season (official music video) comments_analise,0.7233333333333334,0.711864406779661,0.25742574257425743,0.8548812664907651,0.6080571386148945,0.6608126123644966,
chappell roan - good luck babe (official lyric video) comments_analise,0.6933333333333334,0.6588235294117647,0.3252032520325203,0.8163265306122449,0.60011777068551,0.6320192857630857,0.6933333333333334
taylor swift - fortnight (feat. post malone) (official music video) comments_analise,0.7166666666666667,0.8051948051948052,0.1797752808988764,0.8123249299719888,0.5990983386885568,0.6481879888489274,0.7166666666666667
billie eilish - birds of a feather (official lyric video) comments_analise,0.72,0.5531914893617021,0.29310344827586204,0.851258581235698,0.5658511729577541,0.6578721809308112,0.72
artemas - i like the way you kiss me (lyric video) comments_analise,0.5852842809364549,0.6197183098591549,0.2625,0.7193460490463215,0.5338547863018255,0.500830354164391,0.5852842809364549
beyonc - texas hold 'em (official visualizer) comments_analise,0.69,0.8240740740740741,0.2608695652173913,0.40404040404040403,0.4963280144439564,0.6971443907675792,0.69
ariana grande - yes and (official music video) comments_analise,0.5233333333333333,0.03508771929824561,0.0975609756097561,0.7142857142857143,0.28231146973123866,0.45892964117611107,0.5233333333333333
